From,To,Seconds,Meters
GREE,CVLH,2007,44078
GREE,FPCC,1134,21508
GREE,ANHC,1047,13806
GREE,FLAG,2068,42240
GREE,CAPO,2719,65452
GREE,GORD,586,7377
GREE,ATCC,1081,14694
GREE,FVRH,1843,29760
GREE,MISS,2280,52024
GREE,ROYL,1804,25709
GREE,LEIS,776,6907
GREE,ACNC,1102,14327
GREE,ALTA,1183,21152
GREE,PACI,1203,22227
GREE,IRVR,1831,36926
GREE,WINA,1214,16107
GREE,NSUB,1867,40888
GREE,ALAM,1636,22568
GREE,PLAC,757,10443
GREE,CHAP,1168,22273
GREE,KNOT,1055,14448
GREE,HBHO,2098,36576
GREE,HBRI,1285,23482
GREE,OCMM,1966,42898
GREE,MESA,1968,41372
GREE,CMCH,1585,27462
GREE,COCT,1223,11526
GREE,WLNT,1093,10093
GREE,SMMC,2085,44216
GREE,FOCC,1036,19146
GREE,KAIA,1014,17364
GREE,RGNT,2002,40916
GREE,HVAL,2136,36902
GREE,FREE,2090,43690
GREE,QUAK,1481,15960
GREE,CARE,1259,23794
GREE,VIVA,2026,43964
GREE,SCRT,1285,23960
GREE,PREG,610,8186
GREE,SNMR,920,8309
GREE,EVER,203,2182
GREE,NEWO,1422,25027
GREE,WMCS,1301,25207
GREE,COVI,2512,52203
GREE,SEAC,2231,38104
GREE,WMCA,1067,9715
GREE,ELIZ,129,1206
GREE,PSUP,2086,42487
GREE,CHOC,1132,19750
GREE,COAS,1810,25778
GREE,CVPL,1825,26024
GREE,TERR,174,2023
GREE,CMLH,795,9716
GREE,PANA,1208,16056
GREE,GPCC,1088,20633
GREE,SJOS,1240,19192
GREE,CMSA,1807,37860
GREE,SJUD,149,822
GREE,HSUB,2098,36576
GREE,BEAC,2209,38597
GREE,LAMC,1680,22894
GREE,BPNC,986,12984
GREE,PKVW,871,13126
GREE,WINF,392,3435
GREE,AMMC,727,6507
GREE,VICT,1764,39253
GREE,AGBP,641,7775
GGMC,CSNC,291,2208
GGMC,HOAG,1458,28383
GGMC,AGEN,989,15514
GGMC,LPAL,956,10119
GGMC,EXTW,626,10674
GGMC,PVIS,1268,21079
GGMC,SCLE,2044,49801
GGMC,GREE,1345,22909
GGMC,GGMC,0,0
GGMC,HVCC,805,5618
GGMC,UCIM,443,3694
GGMC,MANO,840,8345
GGMC,COVI,1918,37550
GGMC,WAMC,1026,15221
GGMC,EDNA,276,2162
GGMC,LHAB,1693,24629
GGMC,PALM,1459,28766
GGMC,HSOU,654,11182
GGMC,WAEC,1023,15318
GGMC,BVCC,708,6683
GGMC,TOWN,452,5618
GGMC,SCOA,2357,48560
GGMC,CVSB,996,19453
GGMC,LAKE,1551,30184
GGMC,LPIH,1228,20061
GGMC,TUSH,810,11419
GGMC,PACI,285,1684
GGMC,BGSJ,1928,43693
GGMC,HELP,627,10638
GGMC,BGYL,1317,25407
GGMC,COLL,1096,24304
GGMC,GGCH,640,5562
GGMC,CMIS,1611,33490
GGMC,KINB,1208,23066
GGMC,KINO,502,6971
GGMC,STAN,884,14291
GGMC,KINW,623,10619
GGMC,CVLH,1413,29425
GGMC,SJUD,1407,21787
GGMC,FPCC,540,6855
GGMC,ANHC,1010,15577
GGMC,FLAG,1422,27464
GGMC,CAPO,2125,50799
GGMC,GORD,989,16916
GGMC,ATCC,1133,16935
GGMC,FVRH,1020,10359
GGMC,MISS,1685,37371
GGMC,ROYL,1020,10299
GGMC,LEIS,1011,10117
GGMC,ACNC,997,15298
GGMC,ALTA,34,115
GGMC,NNRC,1360,27080
GGMC,IRVR,1236,22273
GGMC,WINA,1004,15567
GGMC,NSUB,1221,26112
GGMC,ALAM,998,22805
GGMC,CMSA,1165,11690
GGMC,CHAP,575,9498
GGMC,KNOT,1105,16949
GGMC,HBRI,638,8707
GGMC,OCMM,1219,12104
GGMC,HSUB,1194,16941
GGMC,CMCH,959,13819
GGMC,COCT,544,4975
GGMC,WLNT,721,6411
GGMC,SMMC,1491,29563
GGMC,FOCC,400,4260
GGMC,KAIA,918,17794
GGMC,RGNT,1356,26141
GGMC,HVAL,1232,17267
GGMC,FREE,1496,29037
GGMC,QUAK,704,11745
GGMC,CARE,612,9018
GGMC,VIVA,1432,29311
